iter	F1	Logloss
0	0.5336182336	0.6790357746
1	0.5247833497	0.6671187776
2	0.5216579058	0.6578953635
3	0.5227177076	0.649971862
4	0.5224039308	0.6437254268
5	0.5141131679	0.6391446158
6	0.5203926088	0.6350855837
7	0.5192078618	0.6312109368
8	0.5141022271	0.6278396097
9	0.511975199	0.6252238301
10	0.514541387	0.6231968338
11	0.5153060265	0.6215387894
12	0.5165176471	0.6196468056
13	0.5199744927	0.618101701
14	0.5212759972	0.6167789272
15	0.5242282507	0.6155359323
16	0.52214881	0.6146695108
17	0.524401663	0.6136169024
18	0.5264574494	0.6127988649
19	0.5286396181	0.6119555099
20	0.52955867	0.611283378
21	0.5297875114	0.610717354
22	0.5324670503	0.6099476193
23	0.53444576	0.6094612215
24	0.535136235	0.6090263354
25	0.5348867362	0.6085942837
26	0.535054941	0.6079942497
27	0.5377153185	0.6073736937
28	0.5379922965	0.606938918
29	0.5383083843	0.6066642282
30	0.5394073256	0.6061778127
31	0.5399823283	0.6058647071
32	0.5401282335	0.605666517
33	0.5416965484	0.6053733945
34	0.5422488601	0.6050954368
35	0.5422825208	0.6048517999
36	0.5426102941	0.6046694027
37	0.5426353737	0.6044884171
38	0.5431077279	0.6042504214
39	0.5446744531	0.6039271558
40	0.544837704	0.6037172726
41	0.5452112547	0.6034809283
42	0.5458542483	0.6032590519
43	0.5461238393	0.6031491971
44	0.5461870925	0.6030591634
45	0.5469238504	0.6028374487
46	0.5469069903	0.6028135536
47	0.5469901102	0.6026083795
48	0.5483021077	0.6010538619
49	0.5488897831	0.6008917236
50	0.5491731304	0.6007697303
51	0.5493323578	0.6005829196
52	0.5502887216	0.6002840737
53	0.5509701206	0.6001019816
54	0.5511150042	0.5999167112
55	0.5516209658	0.5996952581
56	0.5517014871	0.5995257347
57	0.5521765274	0.5993893062
58	0.5521438854	0.5992890019
59	0.5530016028	0.5988687364
60	0.5534060094	0.5987201848
61	0.5535213831	0.5986052665
62	0.5538433549	0.5984654355
63	0.5541164914	0.598405036
64	0.5541283068	0.598283456
65	0.5544233779	0.5981559269
66	0.5546842306	0.5980914867
67	0.5554423749	0.5979758508
68	0.5555676737	0.5977733718
69	0.5557877142	0.5977051101
70	0.5558362259	0.5975914073
71	0.556179469	0.5974206905
72	0.5562579473	0.5973885284
73	0.5566486369	0.5972398994
74	0.55672349	0.5971532247
75	0.55662209	0.5970949427
76	0.5566666062	0.5970346732
77	0.558281318	0.595841165
78	0.5582669594	0.5958314357
79	0.5582028344	0.5957967827
80	0.5582120959	0.5956814809
81	0.5584036281	0.5956100213
82	0.5585343733	0.5954631488
